application_process,audience,description,eligibility,email,fees,funding_sources
Walk in or apply by phone.,"Older adults age 55 or over, ethnic minorities and low-income persons","A walk-in center for older adults that provides social services, wellness, recreational, educational and creative activities including arts and crafts, computer classes and gardening classes.","Age 55 or over for most programs, age 60 or over for lunch program",,"$2.50 suggested donation for lunch for age 60 or over, donations for other services appreciated. Cash and checks accepted.","City, County, Donations, Fees, Fundraising"
Apply by phone for an appointment.,Residents of San Mateo County age 55 or over,Provides training and job placement to eligible people age 55 or over who meet certain income qualifications.,"Age 55 or over, county resident and willing and able to work. Income requirements vary according to program",,None. Donations requested of clients who can afford it.,"County, Federal, State"
Phone for information (403-4300 Ext. 4322).,Older adults age 55 or over who can benefit from counseling,Offers supportive counseling services to San Mateo County residents age 55 or over.,Resident of San Mateo County age 55 or over,,None.,"County, Donations, Grants"
Apply by phone.,"Parents, children, families with problems of custody disputes, domestic violence or substance abuse, families going through a separation or divorce",Provides supervised visitation services and a neutral site for parents to carry out supervised exchanges of children in a safe manner. Provides counseling for child abuse prevention and domestic violence.,None,,"Vary according to income ($5-$90). Cash, checks and credit cards accepted.","County, Donations, Grants"
Phone for information.,Low-income working families with children transitioning from welfare to work and poor or who do not have access to conventional credit,"Provides fixed 8% short term loans to eligible applicants for the purchase of a reliable, used autmobile. Loans are up to $6,000 over 2 1/2 years (30 months). Funds must go towards the entire purchase of the automobile. Peninsula Family Service originates loans and collaborates with commercial partner banks to service the loans, helping clients build credit histories. Formerly known as Family Service Agency of San Mateo County, Ways to Work Family Loan Program.",Eligibility: Low-income family with legal custody of a minor child or an involved parent of a dependent minor child. Must reside and/or work in San Mateo County. Must be working and have verifiable income and ability to pay off loan. No bankruptcies in the past two years and unable to qualify for other funding sources. Loans approved by loan committee.,,$60 application fee. Cash or checks accepted.,"County, Grants, State"
Walk in or apply by phone for membership application.,Any age,"A multipurpose center offering a wide variety of recreational, education and cultural activities.",None,,"$55 per year membership dues. Classes have fees. Discounts are available for members. Cash, checks and credit cards accepted.","Fees, Fundraising, Grants, Dues"
"Apply by phone or be referred by a doctor, social worker or other professional. All prospective participants are interviewed individually before starting the program. A recent physical examination is required, including a TB test.","Older adults who have memory or sensory loss, mobility limitations and may be lonely and in need of socialization","Rosener House is a day center for older adults who may be unable to live independently but do not require 24-hour nursing care, may be isolated and in need of a planned activity program, may need assistance with activities of daily living or are living in a family situation where the caregiver needs respite from giving full-time care. Assists elderly persons to continue to live with family or alone rather than moving to a skilled nursing facility. Activities are scheduled Monday-Friday, 10 am-2:30 pm, and participants may come two to five days per week. The facility is open from 8 am to 5:30 pm for participants who need to remain all day. Small group late afternoon activities are held from 3-5:30 pm. The program provides a noon meal including special diets as required. Services offered include social and therapeutic recreational activities, individual and family counseling and occupational, physical and speech therapy. A registered nurse is available daily.",Age 18 or over,,"$85 per day. Vary according to income for those unable to pay full fee. Cash, checks, credit cards, private insurance and vouchers accepted.","Donations, Fees, Grants"
Apply by phone.,"Senior citizens age 60 or over, disabled individuals age 18-59","Delivers a hot meal to the home of persons age 60 or over who are primarily homebound and unable to prepare their own meals, and have no one to prepare meals. Also, delivers a hot meal to the home of disabled individuals ages 18-59. Meals are delivered between 9 am-1:30 pm, Monday-Friday. Special diets are accommodated: low fat, low sodium, and low sugar.",Homebound person unable to cook or shop,,Suggested donation of $4.25 per meal for seniors 60 or over. Mandatory charge of $2 per meal for disabled individuals ages 18-59.,"County, Donations"
Walk in. Proof of residency in California required to receive a library card.,"Ethnic minorities, especially Spanish speaking","Provides general reading material, including bilingual, multi-cultural books, CDs and cassettes, bilingual and Spanish language reference services. School, class and other group visits may be arranged by appointment. The library is a member of the Peninsula Library System.",Resident of California to obtain a library card,,None.,"City, County"
Walk in. Proof of California residency to receive a library card.,,"Provides general reading and media materials, literacy and homework assistance, and programs for all ages. Provides public computers, wireless connectivity, a children's room, teen center, and a local history collection.",Resident of California to obtain a card,,None.,City
Walk in. Proof of California residency required to receive a library card.,,"Provides general reading materials, including large-type books, DVD's and CDs, books on CD and some Spanish language materials to children. Offers children's programs and a Summer Reading Club. Participates in the Peninsula Library System.",Resident of California to obtain a library card for borrowing materials,,None.,City
"Walk in or apply by phone, email or webpage registration.","Adults, parents, children in 1st-12th grades in the Redwood City school districta","Offers an intergenerational literacy program for youth and English-speaking adults seeking to improver literacy skills. Adult services include: adult one-to-one tutoring to improve basic skills in reading, writing and critical thinking; Families for Literacy (FFL), a home-based family literacy program for parents who want to be able to read to their young children; and small group/English as a Second Language (ESL). Youth services include: Youth Tutoring, Families in Partnership (FIP); Teen-to-Elementary Student Tutoring, Kids in Partnership (KIP); and computer-aided literacy. Redwood City Friends of Literacy is a fundraising board that helps to support and to fund Redwood City's Project Read. Call for more information about each service.",English-speaking adult reading at or below 7th grade level or child in 1st-12th grade in the Redwood City school districts,,None.,"City, Donations, Federal, Grants, State"
Walk in. Proof of California residency required to receive a library card.,,"Provides general reading materials, including large-type books, videos, music cassettes and CDs, and books on tape. Offers children's programs and a Summer Reading Club. Meeting room is available to nonprofit groups. Participates in the Peninsula Library System.",Resident of California to obtain a library card,,None.,City
Call for appointment. Referral from human service professional preferred for emergency assistance.,Individuals or families with low or no income and/or trying to obtain public assistance,"Provides food, clothing, bus tokens and shelter to individuals and families in times of crisis from the Redwood City Corps office and community centers throughout the county.","None for most services. For emergency assistance, must have low or no income and be willing to apply for public assistance",,None.,"Donations, Grants"
Walk in or through other agency referral.,Adult alcoholic/drug addictive men and women with social and spiritual problems,"Provides a long-term (6-12 month) residential rehabilitation program for men and women with substance abuse and other problems. Residents receive individual counseling, and drug and alcohol education. The spiritual side of recovery is addressed through chapel services and Bible study as well as 12-step programs. Nicotine cessation is a part of the program. Residents must be physically able to work, seeking treatment for substance abuse, sober long enough to pass urine drug screen before entering and agreeable to participating in weekly 12-step programs such as Alcoholics Anonymous or Narcotics Anonymous. Pinehurst Lodge is a separate facility for women only. Transition houses for men and women graduates also available.","Age 21-60, detoxed, physically able and willing to participate in a work therapy program",,None.,"Donations, Sales"
"Walk in. Written application, identification required for emergency assistance.",,"Provides emergency assistance including food and clothing for persons in immediate need. Provides PG&E assistance through REACH program. Youth programs offer tutoring, music and troops. Information on related resources is available. Also provides rental assistance when funds are available.",None for emergency assistance,,None for emergency services. Vary for after school activities. Cash and checks accepted.,"Donations, Fees, Grants"
Call for information.,,"Provides emergency food, clothing and furniture vouchers to low-income families in times of crisis. Administers Project REACH (Relief for Energy Assistance through Community Help) funds to prevent energy shut-off through a one-time payment. Offers a Saturday morning Homeless Feeding Program at 10:30, as well as Sunday services and spiritual counseling. Provides Christmas toys and Back-to-School clothes and supplies. Offers case management, advocacy and referrals to other agencies.",Low-income families,,None.,Donations
Call for screening appointment. Medical visits are by appointment only.,,"By appointment only, Project Smile provides a free dental exam, dental cleaning and oral hygiene instruction for children, age 3-12, of Samaritan House clients.",Low-income person without access to health care,,None.,"Donations, Grants"
Call for screening appointment (650-347-3648).,,"Provides free medical and dental care to those in need. Offers basic medical care for adults. Assists people with problems or questions relating to Medi-Cal, Healthy Families, Healthy Kids, and Medicare.",Low-income person without access to health care,,None.,"Donations, Grants"
Walk in.,,no unrequired fields for this service,,,,
By phone during business hours.,,just a test service,,,,
Walk in or apply by phone or mail,"Profit and nonprofit businesses, the public, military facilities, schools and government entities","[NOTE THIS IS NOT A REAL SERVICE--THIS IS FOR TESTING PURPOSES OF THIS ALPHA APP] Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent suscipit metus eu orci lobortis dictum. In hac habitasse platea dictumst. Vivamus vulputate, neque ut sodales gravida, lorem nunc pharetra ligula, ac cursus sem justo a sapien. Duis vitae vestibulum magna. Sed vel augue in justo rhoncus viverra. Nam ac felis a purus lobortis porttitor sit amet quis est. Suspendisse vulputate nisl quis nisi fermentum aliquet euismod at augue. Sed ultricies, purus dapibus tristique dictum, tortor mauris porttitor nulla, at porta nisl sem sed dolor. Proin ac hendrerit erat. Duis porta iaculis orci, eu euismod quam tristique in. Phasellus nec purus sit amet sapien volutpat egestas.",None,passports@example.org,"None, except for permits and photocopying. Cash, checks and credit cards accepted","City, County, Federal, State"
